unitid,Other,Female,Male,Asian,American Indian,Black,Hispanic,White,Unknown
139250,144,144,144,72,72,72,72,72,72
139278,72,72,72,36,36,36,36,36,36
139287,144,144,144,72,72,72,72,72,72
139311,144,144,144,72,72,72,72,72,72
139357,72,72,72,36,36,36,36,36,36
139366,144,144,144,72,72,72,72,72,72
139384,72,72,72,36,36,36,36,36,36
139393,144,144,144,72,72,72,72,72,72
139463,144,144,144,72,72,72,72,72,72
139533,108,108,108,54,54,54,54,54,54
139579,144,144,144,72,72,72,72,72,72
139621,90,90,90,45,45,45,45,45,45
139630,144,144,144,72,72,72,72,72,72
139658,144,144,144,72,72,72,72,72,72
139700,72,72,72,36,36,36,36,36,36
139719,144,144,144,72,72,72,72,72,72
139755,144,144,144,72,72,72,72,72,72
139764,144,144,144,72,72,72,72,72,72
139773,108,108,108,54,54,54,54,54,54
139861,144,144,144,72,72,72,72,72,72
139904,72,72,72,36,36,36,36,36,36
